feature_id,feature_name,description,data_type,unit,source_dataset_id,spatial_resolution,temporal_resolution,minimum,maximum,missing_value,encoding,normalization,ml_role
38,distance_to_river_m,Euclidean projected metric distance to nearest HydroSHEDS stream,float,meters,9,vector_derived,static,0.0,100000.0,MEDIAN,continuous,StandardScaler,feature
39,distance_to_water_m,Euclidean metric distance to permanent or seasonal surface water,float,meters,10,30m_derived,static,0.0,100000.0,MEDIAN,continuous,StandardScaler,feature
40,water_occurrence_pct,JRC long-term surface water detection occurrence percentage,float,percent,10,30m_zonal_mean,static,0.0,100.0,ZERO,continuous,MinMaxScaler,feature
41,drainage_density,Catchment channel streamline length per unit grid square area,float,km/km2,9,500m_derived,static,0.0,25.0,MEDIAN,continuous,StandardScaler,feature
42,forest_cover_pct,Tree canopy density percentage from FSI / Global Forest Watch,float,percent,13,30m_zonal_mean,static,0.0,100.0,MEDIAN,continuous,MinMaxScaler,feature
43,protected_area_flag,Binary flag indicating grid cell intersects a National Park/Sanctuary,integer,flag,13,vector_overlay,static,0,1,ZERO,binary,none,categorical
44,distance_to_protected_area_m,Metric distance from grid centroid to nearest designated protected polygon,float,meters,13,vector_derived,static,0.0,250000.0,MEDIAN,continuous,StandardScaler,feature
45,flood_history_flag,Historical flood inundation recorded in cell (CWC/NDMA),integer,flag,10,historical_events,static,0,1,ZERO,binary,none,feature
46,landslide_history_flag,Historical landslide rupture verified in cell (GSI Bhukosh),integer,flag,11,historical_events,static,0,1,ZERO,binary,none,feature
47,target_flood_risk,Authoritative flood susceptibility class (0=Low, 1=Mod, 2=High, 3=VeryHigh),integer,class,10,multi-source,ground_truth,0,3,NULL,integer_multiclass,none,target
48,target_landslide_risk,Authoritative landslide susceptibility class (0=Low, 1=Mod, 2=High, 3=VeryHigh),integer,class,11,multi-source,ground_truth,0,3,NULL,integer_multiclass,none,target
49,data_quality_score,Automated composite data quality index based on freshness and missingness,float,score,14,composite,per_observation,0.0,1.0,NOT_NULL,continuous,none,metadata
